skill_a,skill_b,cooccur,meaning,relation
Cybersecurity,jQuery,0.01,0.023,complements
C#,TensorFlow,0.01,0.176,complements
Swift,Unix,0.01,0.555,complements
.NET,LLMs / GenAI,0.01,0.174,complements
Distributed Systems,XML,0.01,0.364,complements
Salesforce,Software Architecture,0.01,0.25,complements
C#,Prometheus,0.01,0.172,complements
Datadog,Machine Learning,0.01,0.107,complements
SQL,Svelte,0.01,0.21,complements
A/B Testing,Airflow,0.01,0.044,complements
Elasticsearch,VMware,0.01,0.214,complements
Distributed Systems,Risk Management,0.01,0.18,complements
CSS,Snowflake,0.01,0.071,complements
Data Pipeline,TypeScript,0.01,0.086,complements
AWS,MATLAB,0.01,0.171,complements
Incident Response,Jupyter,0.01,0.068,complements
Oracle,Pandas,0.01,0.261,complements
Git,Penetration Testing,0.01,0.185,complements
CISSP,Kafka,0.01,0.058,complements
A/B Testing,REST API,0.01,0.114,complements
CSS,Rust,0.01,0.33,complements
C,Splunk,0.01,0.326,complements
DevOps,Linear,0.01,0.456,complements
C++,Datadog,0.01,0.189,complements
PowerShell,R,0.01,0.294,complements
GCP,Stakeholder Mgmt,0.01,0.158,complements
Databricks,Unit Testing,0.01,0.015,complements
Hugging Face,SQL,0.01,0.124,complements
DynamoDB,Tableau,0.01,0.245,complements
Deep Learning,PostgreSQL,0.01,0.145,complements
Data Governance,Windows,0.01,0.137,complements
Firebase,Python,0.01,0.255,complements
Power BI,System Design,0.01,0.278,complements
TypeScript,Workday,0.01,0.152,complements
Data Governance,Datadog,0.01,0.178,complements
Data Analysis,VMware,0.01,0.014,complements
Angular,Risk Management,0.01,-0.011,complements
Linear,TypeScript,0.01,0.153,complements
BigQuery,Microservices,0.01,0.222,complements
LLMs / GenAI,Software Architecture,0.01,0.175,complements
Angular,R,0.01,0.186,complements
Data Pipeline,JSON,0.01,0.397,complements
DevOps,Statistical Analysis,0.01,0.22,complements
PostgreSQL,SSIS,0.01,0.411,complements
Flask,XML,0.01,0.293,complements
Data Governance,Unix,0.01,0.12,complements
NumPy,Terraform,0.01,0.138,complements
Databricks,Splunk,0.01,0.271,complements
Cybersecurity,Unit Testing,0.01,0.133,complements
Alteryx,Hadoop,0.01,0.245,complements
PyTorch,Windows,0.01,0.09,complements
Ansible,Snowflake,0.01,0.224,complements
Burp Suite,Data Analysis,0.01,0.202,complements
PHP,ServiceNow,0.01,0.286,complements
SIEM,Stakeholder Mgmt,0.01,0.066,complements
Data Modeling,PHP,0.01,0.24,complements
Java,SOC 2,0.01,0.25,complements
MATLAB,PostgreSQL,0.01,0.137,complements
C#,Penetration Testing,0.01,0.143,complements
Excel,REST API,0.01,0.198,complements
Agile / Scrum,Alteryx,0.01,0.134,complements
Statistical Analysis,System Design,0.01,0.236,complements
CSS,Helm,0.01,0.177,complements
Incident Response,Oracle,0.01,0.154,complements
Bash,Snowflake,0.01,0.117,complements
Kafka,MuleSoft,0.01,0.401,complements
Kafka,Statistical Analysis,0.01,0.077,complements
System Design,Tableau,0.01,0.224,complements
Angular,Prometheus,0.01,0.105,complements
GraphQL,System Design,0.01,0.211,complements
Data Modeling,Grafana,0.01,0.294,complements
CSS,Informatica,0.01,0.129,complements
Looker,React,0.01,0.295,complements
ETL,Redis,0.01,0.285,complements
GitLab,PyTorch,0.01,0.131,complements
Prototyping,Statistical Analysis,0.01,0.233,complements
Data Pipeline,Salesforce,0.01,0.299,complements
.NET,MATLAB,0.01,0.324,complements
Firewalls,MySQL,0.01,0.153,complements
Figma,NoSQL,0.01,0.063,complements
TensorFlow,Windows,0.01,0.09,complements
Jupyter,MySQL,0.01,0.252,complements
C++,FastAPI,0.01,0.31,complements
CSS,VMware,0.01,0.226,complements
Hadoop,Rust,0.01,0.18,complements
Data Analysis,Firewalls,0.01,0.121,complements
A/B Testing,PyTorch,0.01,0.009,complements
A/B Testing,Kafka,0.01,0.041,complements
Linux,Workday,0.01,0.296,complements
Ansible,ETL,0.01,0.249,complements
Salesforce,Spark,0.01,0.365,complements
NLP,TypeScript,0.01,0.222,complements
Excel,Splunk,0.01,0.293,complements
Excel,Jupyter,0.01,0.393,complements
JSON,Risk Management,0.01,0.105,complements
Angular,C,0.01,0.295,complements
Cybersecurity,XML,0.01,0.195,complements
Django,Windows,0.01,0.289,complements
Active Directory,Datadog,0.01,0.263,complements
NumPy,Oracle,0.01,0.122,complements
PostgreSQL,Prototyping,0.01,0.053,complements
CSS,Excel,0.01,0.278,complements
.NET,A/B Testing,0.01,0.074,complements
A/B Testing,Confluence,0.01,0.19,complements
BigQuery,CSS,0.01,0.083,complements
Cassandra,jQuery,0.01,0.114,complements
Docker,SAP,0.01,0.186,complements
Jenkins,LLMs / GenAI,0.01,0.174,complements
Prototyping,Spring,0.01,0.132,complements
Stakeholder Mgmt,Unix,0.01,0.104,complements
Alteryx,Oracle,0.01,0.294,complements
Cybersecurity,ETL,0.01,0.346,complements
Git,MLflow,0.01,0.545,complements
Active Directory,Ruby,0.01,0.29,complements
C,VMware,0.01,0.325,complements
MuleSoft,System Design,0.01,0.248,complements
A/B Testing,GCP,0.01,0.109,complements
.NET,Cassandra,0.01,0.04,complements
Deep Learning,GitLab,0.01,0.025,complements
Figma,JSON,0.01,0.31,complements
Angular,Databricks,0.01,0.087,complements
GitLab,Salesforce,0.01,0.27,complements
Rust,Spark,0.01,0.225,complements
Data Governance,ServiceNow,0.01,0.252,complements
Informatica,Kubernetes,0.01,0.327,complements
TensorFlow,Terraform,0.01,0.118,complements
BigQuery,HTML,0.01,0.089,complements
C,CSS,0.01,0.383,complements
Linear,System Design,0.01,0.457,complements
Git,Statistical Analysis,0.01,0.158,complements
Data Visualization,PowerShell,0.01,0.157,complements
Kubernetes,SOC 2,0.01,0.131,complements
A/B Testing,Software Architecture,0.01,0.24,complements
Kanban,LLMs / GenAI,0.01,0.177,complements
Databricks,Go,0.01,0.229,complements
C,Risk Management,0.01,0.002,complements
Azure,MCP,0.01,0.211,complements
BigQuery,Unix,0.01,0.091,complements
Kanban,Looker,0.01,0.321,complements
AWS Security,Go,0.01,0.134,complements
MATLAB,Rust,0.01,0.379,complements
Airflow,JavaScript,0.01,0.234,complements
Google Analytics,Oracle,0.009,0.173,complements
Jenkins,TensorFlow,0.009,0.112,complements
Figma,NLP,0.009,0.181,complements
C,SAS,0.009,0.241,complements
Stakeholder Mgmt,Unit Testing,0.009,0.104,complements
C++,Figma,0.009,0.29,complements
Prototyping,Spark,0.009,-0.09,complements
Big Data,Incident Response,0.009,0.159,complements
Grafana,Statistical Analysis,0.009,0.355,complements
Java,NetSuite,0.009,0.368,complements
Fine-tuning,SQL,0.009,0.153,complements
Cassandra,NumPy,0.009,0.102,complements
Django,Salesforce,0.009,0.226,complements
NLP,Rust,0.009,0.1,complements
Airflow,SAS,0.009,0.264,complements
GCP,SSIS,0.009,0.129,complements
NLP,Oracle,0.009,0.117,complements
Data Warehousing,Ruby,0.009,0.186,complements
Informatica,jQuery,0.009,0.125,complements
PyTorch,System Design,0.009,0.15,complements
Prototyping,XML,0.009,0.141,complements
Cassandra,PowerShell,0.009,-0.046,complements
Cybersecurity,PHP,0.009,0.185,complements
Ruby,TensorFlow,0.009,0.162,complements
Docker,Looker,0.009,0.148,complements
Cybersecurity,Node.js,0.009,0.211,complements
Jenkins,SIEM,0.009,0.208,complements
Hadoop,Prototyping,0.009,-0.045,complements
Jira,Workday,0.009,0.219,complements
PyTorch,REST API,0.009,0.043,complements
Bash,GraphQL,0.009,0.333,complements
Informatica,PowerShell,0.009,0.186,complements
Airflow,Spring Boot,0.009,0.309,complements
MLflow,Terraform,0.009,0.218,complements
R,React,0.009,0.249,complements
Java,Workday,0.009,0.237,complements
Data Visualization,Next.js,0.009,0.235,complements
AWS,scikit-learn,0.009,0.117,complements
Tableau,jQuery,0.009,0.327,complements
PHP,Splunk,0.009,0.315,complements
Databricks,GitLab,0.009,0.253,complements
Big Data,Prototyping,0.009,0.043,complements
Cassandra,VMware,0.009,0.265,complements
Confluence,Informatica,0.009,0.351,complements
Distributed Systems,VMware,0.009,0.502,complements
PostgreSQL,Statistical Analysis,0.009,0.169,complements
Ansible,Databricks,0.009,0.135,complements
Prototyping,Redis,0.009,0.105,complements
Looker,Terraform,0.009,0.311,complements
HTML,LLMs / GenAI,0.009,0.294,complements
SSIS,Unix,0.009,0.149,complements
SAP,System Design,0.009,0.291,complements
Airflow,Spring,0.009,0.149,complements
Microservices,R,0.009,0.129,complements
Google Analytics,Node.js,0.009,0.283,complements
CSS,Risk Management,0.009,0.108,complements
Docker,SAS,0.009,0.108,complements
C,Data Modeling,0.009,0.161,complements
REST API,SAS,0.009,0.036,complements
Data Warehousing,GitLab,0.009,0.287,complements
Excel,jQuery,0.009,0.19,complements
Looker,REST API,0.009,0.206,complements
Prototyping,Ruby,0.009,0.089,complements
MATLAB,PHP,0.009,0.395,complements
Deep Learning,Snowflake,0.009,0.122,complements
Kotlin,Windows,0.009,0.489,complements
Data Visualization,GitLab,0.009,0.09,complements
Power BI,Prototyping,0.009,0.115,complements
Airflow,Excel,0.009,0.285,complements
Deep Learning,ETL,0.009,0.249,complements
C,Incident Response,0.009,0.019,complements
C++,OWASP,0.009,0.195,complements
Data Modeling,Prometheus,0.009,0.213,complements
Cybersecurity,MongoDB,0.009,0.127,complements
NoSQL,Stakeholder Mgmt,0.009,0.094,complements
PostgreSQL,ServiceNow,0.009,0.172,complements
A/B Testing,DevOps,0.009,0.232,complements
C,Data Visualization,0.009,0.123,complements
Salesforce,Splunk,0.009,0.244,complements
Airflow,System Design,0.009,0.303,complements
R,Terraform,0.009,0.263,complements
Ansible,Scala,0.009,0.301,complements
Ansible,GraphQL,0.009,0.266,complements
SIEM,ServiceNow,0.009,0.312,complements
Distributed Systems,Tableau,0.009,0.268,complements
Python,Segment,0.009,0.461,complements
Data Warehousing,Prototyping,0.009,0.081,complements
MATLAB,MySQL,0.009,0.137,complements
MySQL,PyTorch,0.009,0.321,complements
GitHub,SAS,0.009,0.148,complements
MySQL,Rust,0.009,0.239,complements
Alteryx,GCP,0.009,0.194,complements
NoSQL,User Research,0.009,0.091,complements
Oracle,TensorFlow,0.009,0.13,complements
Distributed Systems,Jupyter,0.009,0.375,complements
Azure,scikit-learn,0.009,0.117,complements
MySQL,Workday,0.009,0.143,complements
Node.js,Penetration Testing,0.009,0.259,complements
Helm,Unit Testing,0.009,0.061,complements
R,Ruby,0.009,0.357,complements
GitLab,TensorFlow,0.009,0.131,complements
CSS,Penetration Testing,0.009,0.094,complements
PostgreSQL,SAP,0.009,0.154,complements
R,System Design,0.009,0.192,complements
JavaScript,SOC 2,0.009,0.164,complements
Git,Stakeholder Mgmt,0.009,0.151,complements
Agile / Scrum,Vector Databases,0.009,-0.018,complements
C++,Incident Response,0.009,0.071,complements
Data Modeling,Ruby,0.009,0.277,complements
PowerShell,SAP,0.009,0.234,complements
Cassandra,Prototyping,0.009,-0.019,complements
AWS,User Research,0.009,0.092,complements
GitLab,SSIS,0.009,0.263,complements
Data Modeling,Dynamics 365,0.009,0.352,complements
Alteryx,DevOps,0.009,0.311,complements
Data Analysis,Kotlin,0.009,0.111,complements
Active Directory,Angular,0.009,0.144,complements
Bash,Salesforce,0.009,0.202,complements
JavaScript,PyTorch,0.009,0.156,complements
React,SageMaker,0.009,0.215,complements
Databricks,Windows,0.009,0.245,complements
Excel,JSON,0.009,0.301,complements
Incident Response,Jira,0.009,0.366,complements
Cybersecurity,Rust,0.009,0.269,complements
Cybersecurity,Prototyping,0.009,0.088,complements
Active Directory,Microservices,0.009,0.434,complements
A/B Testing,Deep Learning,0.009,0.049,complements
SAP,ServiceNow,0.009,0.421,complements
CISSP,Ruby,0.009,0.159,complements
A/B Testing,Jenkins,0.009,0.059,complements
SIEM,SQL,0.009,0.191,complements
DevOps,User Research,0.009,0.276,complements
ETL,ServiceNow,0.009,0.218,complements
ServiceNow,System Design,0.009,0.296,complements
Data Pipeline,SAP,0.009,0.254,complements
Agile / Scrum,XGBoost,0.009,-0.074,complements
Data Pipeline,SAS,0.009,0.246,complements
Dynamics 365,Python,0.009,0.401,complements
Snowflake,Software Architecture,0.009,0.104,complements
Cybersecurity,Segment,0.009,0.253,complements
Kafka,SAS,0.009,0.187,complements
PostgreSQL,SAS,0.009,0.302,complements
Big Data,Datadog,0.009,0.139,complements
Data Pipeline,Spring Boot,0.009,0.196,complements
Node.js,Pandas,0.009,0.048,complements
CSS,NumPy,0.009,0.126,complements
Next.js,NoSQL,0.009,0.125,complements
Microservices,NumPy,0.009,0.053,complements
Databricks,Redis,0.009,0.332,complements
Angular,Dynamics 365,0.009,0.299,complements
Pandas,Ruby,0.009,0.228,complements
Linear,Unix,0.009,0.23,complements
Unit Testing,Workday,0.009,0.041,complements
Kubernetes,SAP,0.009,0.28,complements
Django,Scala,0.009,0.342,complements
Jupyter,Node.js,0.009,0.387,complements
SOC 2,SQL,0.009,0.263,complements
R,Workday,0.009,0.14,complements
NumPy,Windows,0.009,0.166,complements
Docker,SIEM,0.009,0.143,complements
Bash,LLMs / GenAI,0.009,0.248,complements
Hive,SSIS,0.009,0.389,complements
Penetration Testing,Rust,0.009,0.344,complements
PHP,SAP,0.008,0.253,complements
Scala,Vue,0.008,0.271,complements
MySQL,dbt,0.008,0.407,complements
DynamoDB,ServiceNow,0.008,0.254,complements
NLP,Windows,0.008,0.094,complements
Ansible,Data Warehousing,0.008,0.225,complements
Elasticsearch,Statistical Analysis,0.008,0.119,complements
CI/CD,Zero Trust,0.008,0.192,complements
MongoDB,Penetration Testing,0.008,-0.003,complements
Scala,Swift,0.008,0.488,complements
Data Warehousing,Dynamics 365,0.008,0.241,complements
Hadoop,VMware,0.008,0.296,complements
Rust,Spring Boot,0.008,0.272,complements
Deep Learning,Unit Testing,0.008,0.081,complements
Deep Learning,JavaScript,0.008,0.086,complements
Penetration Testing,SAP,0.008,0.043,complements
Microservices,VMware,0.008,0.418,complements
Go,Redshift,0.008,0.303,complements
Data Governance,Unit Testing,0.008,0.228,complements
Data Warehousing,TypeScript,0.008,0.069,complements
Ruby,SAP,0.008,0.249,complements
Data Visualization,ServiceNow,0.008,0.095,complements
Risk Management,XML,0.008,0.096,complements
Salesforce,TypeScript,0.008,0.088,complements
HTML,Penetration Testing,0.008,0.076,complements
Linear,PostgreSQL,0.008,0.175,complements
Data Analysis,Prometheus,0.008,0.224,complements
C++,Firewalls,0.008,0.13,complements
Firewalls,PostgreSQL,0.008,0.153,complements
Microservices,PyTorch,0.008,0.1,complements
C#,SageMaker,0.008,0.325,complements
Distributed Systems,R,0.008,0.291,complements
DevOps,NetSuite,0.008,0.26,complements
Agile / Scrum,Dagster,0.008,0.209,complements
Node.js,TensorFlow,0.008,0.088,complements
Excel,Git,0.008,0.302,complements
A/B Testing,TensorFlow,0.008,0.009,complements
Kafka,Risk Management,0.008,-0.071,complements
GraphQL,Prototyping,0.008,0.106,complements
R,Rust,0.008,0.462,complements
JSON,Redshift,0.008,0.239,complements
GitHub,User Research,0.008,0.103,complements
Airflow,React,0.008,0.048,complements
Firewalls,System Design,0.008,0.058,complements
Ansible,Data Governance,0.008,0.187,complements
Jira,Statistical Analysis,0.008,0.165,complements
PyTorch,Unit Testing,0.008,0.03,complements
C,NumPy,0.008,0.257,complements
Java,XGBoost,0.008,0.109,complements
GitLab,Risk Management,0.008,-0.047,complements
Incident Response,PostgreSQL,0.008,0.12,complements
Big Data,CISSP,0.008,0.109,complements
GraphQL,Windows,0.008,0.331,complements
React,Risk Management,0.008,0.008,complements
Pandas,Windows,0.008,0.084,complements
Alteryx,Jira,0.008,0.31,complements
DynamoDB,PowerShell,0.008,0.124,complements
C++,User Research,0.008,0.145,complements
C#,Deep Learning,0.008,0.117,complements
ETL,Node.js,0.008,0.173,complements
Hive,SAP,0.008,0.132,complements
PowerShell,Stakeholder Mgmt,0.008,0.113,complements
Ansible,Salesforce,0.008,0.252,complements
C,PowerShell,0.008,0.287,complements
C#,Next.js,0.008,0.283,complements
Jupyter,Oracle,0.008,0.159,complements
Penetration Testing,React,0.008,0.076,complements
A/B Testing,Docker,0.008,0.164,complements
Azure,User Research,0.008,0.092,complements
C#,Hive,0.008,0.196,complements
ClickHouse,Data Analysis,0.008,0.396,complements
AWS Security,DevOps,0.008,0.144,complements
Active Directory,Grafana,0.008,0.273,complements
Go,Stakeholder Mgmt,0.008,0.056,complements
MySQL,Risk Management,0.008,0.081,complements
NumPy,Scala,0.008,0.261,complements
AWS,Alteryx,0.008,0.194,complements
Firewalls,REST API,0.008,0.227,complements
Data Governance,LLMs / GenAI,0.008,0.052,complements
GitLab,LLMs / GenAI,0.008,0.084,complements
Firewalls,Stakeholder Mgmt,0.008,0.035,complements
.NET,Stakeholder Mgmt,0.008,0.126,complements
NoSQL,SAP,0.008,0.141,complements
.NET,Data Governance,0.008,0.073,complements
Jira,SIEM,0.008,0.414,complements
Go,SIEM,0.008,0.31,complements
Linux,SSIS,0.008,0.249,complements
JSON,PyTorch,0.008,0.161,complements
LLMs / GenAI,MySQL,0.008,0.181,complements
Agile / Scrum,Zero Trust,0.008,0.091,complements
Bash,R,0.008,0.324,complements
Prometheus,Snowflake,0.008,0.367,complements
GitHub,Stakeholder Mgmt,0.008,0.212,complements
Kafka,Salesforce,0.008,0.263,complements
Distributed Systems,Stakeholder Mgmt,0.008,0.23,complements
Figma,Tableau,0.008,0.38,complements
Rust,Spring,0.008,0.286,complements
PHP,Penetration Testing,0.008,0.186,complements
C#,LLMs / GenAI,0.008,0.257,complements
A/B Testing,Git,0.008,0.211,complements
Data Pipeline,ServiceNow,0.008,0.362,complements
Prototyping,Spring Boot,0.008,0.223,complements
GitHub,Penetration Testing,0.008,0.03,complements
Statistical Analysis,XML,0.008,0.243,complements
Power BI,Redis,0.008,0.253,complements
Figma,MySQL,0.008,0.178,complements
Excel,NLP,0.008,0.096,complements
Hadoop,Salesforce,0.008,0.279,complements
Docker,Statistical Analysis,0.008,-0.031,complements
ETL,Go,0.008,0.316,complements
Data Analysis,jQuery,0.008,0.058,complements
CSS,LLMs / GenAI,0.008,0.299,complements
Firewalls,Salesforce,0.008,0.134,complements
VMware,jQuery,0.008,0.159,complements
NumPy,System Design,0.008,0.133,complements
GraphQL,NLP,0.008,0.212,complements
Elasticsearch,MATLAB,0.008,0.205,complements
Active Directory,SSIS,0.008,0.127,complements
C,Hive,0.008,0.178,complements
JSON,SAS,0.008,0.232,complements
.NET,NLP,0.008,0.14,complements
PowerShell,Redshift,0.008,0.181,complements
NumPy,React,0.008,0.196,complements
AWS Security,Java,0.008,0.135,complements
Pandas,Software Architecture,0.008,0.12,complements
Cybersecurity,Deep Learning,0.008,0.079,complements
Data Pipeline,Prototyping,0.008,0.009,complements
Data Visualization,Dynamics 365,0.008,0.231,complements
Angular,Linear,0.008,0.063,complements
Pandas,XML,0.008,0.303,complements
Hadoop,jQuery,0.008,0.03,complements
PowerShell,TypeScript,0.008,0.199,complements
Kubernetes,MuleSoft,0.008,0.378,complements
PyTorch,Ruby,0.008,0.162,complements
Figma,Salesforce,0.008,0.206,complements
Data Analysis,Next.js,0.008,0.009,complements
JavaScript,dbt,0.008,0.125,complements
Firewalls,PHP,0.008,0.115,complements
Data Pipeline,Windows,0.008,0.263,complements
Bash,Pandas,0.008,0.224,complements
A/B Testing,C#,0.008,0.115,complements
Snowflake,jQuery,0.008,0.066,complements
NLP,Ruby,0.008,0.142,complements
Deep Learning,Go,0.008,0.041,complements
Linux,Salesforce,0.008,0.231,complements
Active Directory,SAP,0.008,0.268,complements
A/B Testing,Distributed Systems,0.008,0.284,complements
C#,Workday,0.008,0.196,complements
Kotlin,Unix,0.008,0.354,complements
Ansible,Pandas,0.008,0.131,complements
Airflow,JSON,0.008,0.314,complements
Figma,Statistical Analysis,0.008,0.165,complements
BigQuery,C#,0.008,0.138,complements
Penetration Testing,Ruby,0.008,0.111,complements
.NET,Databricks,0.008,0.136,complements
Big Data,jQuery,0.008,0.002,complements
.NET,Hive,0.008,0.124,complements
GitHub,Risk Management,0.008,0.02,complements
Incident Response,Rust,0.008,0.15,complements
PHP,Snowflake,0.008,0.187,complements
MongoDB,Statistical Analysis,0.008,0.072,complements
NoSQL,VMware,0.008,0.137,complements
Redshift,TensorFlow,0.008,0.073,complements
Airflow,Prototyping,0.008,0.028,complements
R,Redis,0.008,0.223,complements
Redshift,Stakeholder Mgmt,0.008,-0.007,complements
Incident Response,PHP,0.008,0.057,complements
Node.js,Power BI,0.008,0.138,complements
User Research,jQuery,0.008,0.197,complements
Django,Unix,0.008,0.22,complements
Go,Zero Trust,0.007,0.274,complements
GCP,MuleSoft,0.007,0.356,complements
GraphQL,Hive,0.007,0.375,complements
BigQuery,Unit Testing,0.007,0.049,complements
C#,CISSP,0.007,0.246,complements
Linux,Stakeholder Mgmt,0.007,0.142,complements
Cassandra,Stakeholder Mgmt,0.007,0.085,complements
Jenkins,User Research,0.007,0.073,complements
GitLab,SAP,0.007,0.137,complements
Jira,Zero Trust,0.007,0.189,complements
SSIS,Stakeholder Mgmt,0.007,0.039,complements
MySQL,SAP,0.007,0.154,complements
Spark,Swift,0.007,0.141,complements
Firewalls,Redis,0.007,0.267,complements
MuleSoft,TypeScript,0.007,0.179,complements
C#,Incident Response,0.007,0.072,complements
Excel,PostgreSQL,0.007,0.28,complements
Angular,Workday,0.007,0.177,complements
PostgreSQL,Risk Management,0.007,0.081,complements
Kafka,VMware,0.007,0.299,complements
Data Governance,HTML,0.007,0.106,complements
HTML,MATLAB,0.007,0.219,complements
Data Visualization,Prometheus,0.007,0.305,complements
Data Pipeline,Spring,0.007,0.163,complements
C#,Pandas,0.007,0.19,complements
Excel,GCP,0.007,0.167,complements
CI/CD,Workday,0.007,0.146,complements
GitHub,SIEM,0.007,0.155,complements
Active Directory,NoSQL,0.007,0.221,complements
Cybersecurity,TensorFlow,0.007,0.058,complements
Statistical Analysis,Windows,0.007,0.117,complements
Cybersecurity,JSON,0.007,0.231,complements
Big Data,SAP,0.007,0.203,complements
CSS,Prometheus,0.007,0.102,complements
Swift,Terraform,0.007,0.316,complements
JavaScript,SIEM,0.007,0.378,complements
Airflow,Windows,0.007,0.165,complements
Angular,Jupyter,0.007,0.307,complements
LLMs / GenAI,Stakeholder Mgmt,0.007,0.112,complements
JavaScript,Linear,0.007,0.261,complements
Cybersecurity,PyTorch,0.007,0.058,complements
Data Governance,React,0.007,-0.01,complements
Google Analytics,TypeScript,0.007,0.217,complements
Grafana,Snowflake,0.007,0.399,complements
ETL,Grafana,0.007,0.229,complements
Deep Learning,REST API,0.007,0.032,complements
Angular,Stakeholder Mgmt,0.007,-0.005,complements
Jenkins,Stakeholder Mgmt,0.007,0.1,complements
Risk Management,Snowflake,0.007,0.128,complements
Big Data,VMware,0.007,0.304,complements
NLP,Redis,0.007,0.038,complements
Data Analysis,Spring Boot,0.007,0.063,complements
Data Modeling,Rust,0.007,0.219,complements
Flink,Windows,0.007,0.243,complements
Go,R,0.007,0.448,complements
SAP,Terraform,0.007,0.195,complements
A/B Testing,Microservices,0.007,0.161,complements
NumPy,TypeScript,0.007,0.173,complements
HTML,Prometheus,0.007,0.112,complements
Ansible,Informatica,0.007,0.335,complements
Prompt Engineering,SQL,0.007,0.222,complements
FastAPI,Java,0.007,0.321,complements
Hadoop,PowerShell,0.007,0.192,complements
Deep Learning,DynamoDB,0.007,0.058,complements
ArgoCD,SQL,0.007,-0.007,complements
JSON,NLP,0.007,0.206,complements
Kotlin,Oracle,0.007,0.212,complements
Go,Looker,0.007,0.323,complements
Bash,Power BI,0.007,0.266,complements
Cybersecurity,Statistical Analysis,0.007,0.227,complements
CISSP,PostgreSQL,0.007,0.169,complements
Git,Workday,0.007,0.202,complements
Data Governance,GraphQL,0.007,0.136,complements
Bash,NLP,0.007,0.141,complements
DynamoDB,Power BI,0.007,0.311,complements
Kubernetes,SAS,0.007,0.088,complements
SAP,jQuery,0.007,0.007,complements
Active Directory,C++,0.007,0.198,complements
Kafka,Stakeholder Mgmt,0.007,0.104,complements
Software Architecture,Tableau,0.007,0.227,complements
GCP,jQuery,0.007,0.13,complements
C,Tableau,0.007,0.186,complements
Cassandra,SAP,0.007,0.054,complements
Docker,Stakeholder Mgmt,0.007,0.048,complements
HTML,NLP,0.007,0.275,complements
Grafana,Risk Management,0.007,0.171,complements
Hadoop,Penetration Testing,0.007,-0.016,complements
Dynamics 365,Windows,0.007,0.33,complements
PHP,VMware,0.007,0.371,complements
GCP,User Research,0.007,0.092,complements
Linear,Unit Testing,0.007,0.291,complements
Kanban,Statistical Analysis,0.007,0.208,complements
Incident Response,Machine Learning,0.007,0.193,complements
Incident Response,Segment,0.007,0.206,complements
Grafana,Software Architecture,0.007,0.207,complements
Data Warehousing,Grafana,0.007,0.477,complements
Go,Penetration Testing,0.007,0.194,complements
CISSP,Machine Learning,0.007,0.117,complements
Ansible,Prototyping,0.007,0.081,complements
CISSP,Oracle,0.007,0.262,complements
Bash,Kotlin,0.007,0.473,complements
Confluence,Incident Response,0.007,0.153,complements
Deep Learning,Terraform,0.007,0.117,complements
Redis,VMware,0.007,0.244,complements
Big Data,Salesforce,0.007,0.272,complements
Data Governance,Incident Response,0.007,0.308,complements
Distributed Systems,MATLAB,0.007,0.301,complements
NLP,Splunk,0.007,0.262,complements
Ansible,Power BI,0.007,0.326,complements
Stakeholder Mgmt,Terraform,0.007,0.141,complements
Oracle,Rust,0.007,0.229,complements
Kanban,Penetration Testing,0.007,0.132,complements
Docker,Zero Trust,0.007,0.16,complements
C,Kotlin,0.007,0.624,complements
C,CISSP,0.007,0.214,complements
C,Excel,0.007,0.273,complements
Angular,LLMs / GenAI,0.007,0.116,complements
Java,Zero Trust,0.007,0.286,complements
Spark,jQuery,0.007,0.098,complements
ETL,Prototyping,0.007,0.103,complements
ArgoCD,Data Analysis,0.007,0.078,complements
Power BI,TypeScript,0.007,0.143,complements
C#,NumPy,0.007,0.172,complements
Confluence,Penetration Testing,0.007,0.109,complements
Alteryx,CI/CD,0.007,0.211,complements
Machine Learning,VMware,0.007,0.017,complements
CSS,NLP,0.007,0.228,complements
Excel,GitLab,0.007,0.196,complements
Data Warehousing,Splunk,0.007,0.346,complements
MATLAB,Scala,0.007,0.468,complements
ETL,LLMs / GenAI,0.007,0.226,complements
GitLab,Penetration Testing,0.007,-0.033,complements
Data Visualization,Vue,0.007,0.269,complements
Confluence,Segment,0.007,0.378,complements
NLP,Spring Boot,0.007,0.147,complements
Cybersecurity,Workday,0.007,0.141,complements
Linux,MuleSoft,0.007,0.374,complements
Oracle,Swift,0.007,0.121,complements
GitLab,NLP,0.007,-0.033,complements
Scala,XML,0.007,0.452,complements
Kafka,ServiceNow,0.007,0.351,complements
Jupyter,React,0.007,0.388,complements
Redshift,Salesforce,0.007,0.371,complements
Pandas,System Design,0.007,0.067,complements
Jupyter,REST API,0.007,0.313,complements
Linear,Windows,0.007,0.194,complements
Prometheus,Risk Management,0.007,0.087,complements
ServiceNow,Snowflake,0.007,0.276,complements
GraphQL,Salesforce,0.007,0.243,complements
A/B Testing,C++,0.007,0.163,complements
Cassandra,Statistical Analysis,0.007,0.028,complements
CSS,Looker,0.007,0.235,complements
Go,Linear,0.007,0.33,complements
Data Analysis,Vue,0.007,0.104,complements
A/B Testing,XML,0.007,0.146,complements
Ansible,Jupyter,0.007,0.307,complements
Pandas,Splunk,0.007,0.327,complements
Jenkins,dbt,0.007,0.353,complements
Django,System Design,0.007,0.225,complements
JSON,LLMs / GenAI,0.007,0.206,complements
Cybersecurity,SageMaker,0.007,0.136,complements
Cybersecurity,TypeScript,0.007,0.038,complements
Grafana,System Design,0.007,0.246,complements
Distributed Systems,NumPy,0.007,0.208,complements
